anno,cantidad_aguacate,precio_agucate,precio_cebolla,precio_fresa,precio_limon
2000,907439,4215962,193079,763979,3345697
2001,940229,5031165,302112,791760,2234497
2002,901075,4039519,369720,1034918,2424787
2003,905000,5372985,393836,1064389,3070561
2004,987000,6083868,369012,1202346,3144548
2005,1021515,7617437,363518,1449007,2601408
2006,1134250,9123000,228056,1745675,3327506
2007,1142892,12019338,246384,1763554,4113807
2008,1162429,12459379,339555,1472563,4859806
2009,1230973,15073387,303208,1953466,4973204
2010,1107135,14165792,408493,2102674,5437027
2011,1264141,18136378,320652,2514604,6342921
2012,1316104,16608180,336307,4336393,4946434
2013,1467837,18060120,397074,4173573,6563784
2014,1520695,20715972,412820,5472461,9062875
2015,1644226,22548751,390772,5779008,8995338
2016,1889354,30265751,468345,7827468,10376141
2017,2029886,39705991,484030,12642366,12699776
2018,2184663,41908119,483500,13401644,13953964
2019,2300889,49481379,771681,20584212,17520981
2020,2393849,49369380,574161,10720440,18948120
