anno,cantidad_limon,precio_agucate,precio_cebolla,precio_fresa,precio_limon
2000,3345697,4215962,193079,763979,3345697
2001,2234497,5031165,302112,791760,2234497
2002,2424787,4039519,369720,1034918,2424787
2003,3070561,5372985,393836,1064389,3070561
2004,3144548,6083868,369012,1202346,3144548
2005,2601408,7617437,363518,1449007,2601408
2006,3327506,9123000,228056,1745675,3327506
2007,4113807,12019338,246384,1763554,4113807
2008,4859806,12459379,339555,1472563,4859806
2009,4973204,15073387,303208,1953466,4973204
2010,5437027,14165792,408493,2102674,5437027
2011,6342921,18136378,320652,2514604,6342921
2012,4946434,16608180,336307,4336393,4946434
2013,6563784,18060120,397074,4173573,6563784
2014,9062875,20715972,412820,5472461,9062875
2015,8995338,22548751,390772,5779008,8995338
2016,10376141,30265751,468345,7827468,10376141
2017,12699776,39705991,484030,12642366,12699776
2018,13953964,41908119,483500,13401644,13953964
2019,17520981,49481379,771681,20584212,17520981
2020,18948120,49369380,574161,10720440,18948120
