WAGE,EDUC,EXPER,AGE,GENDER,RACE,CLERICAL,MAINT,CRAFTS
1345,6,2,38,Mujer,Blanco,Religioso,0tro,Otro
2435,4,18,52,Hombre,Blanco,No Religioso,0tro,Artesano
1715,6,4,45,Hombre,Blanco,No Religioso,Mantenimiento,Otro
1461,6,4,58,Hombre,Blanco,Religioso,0tro,Otro
1639,9,3,30,Hombre,Otro,No Religioso,0tro,Artesano
1345,5,8,43,Mujer,Blanco,Religioso,0tro,Otro
1602,7,6,30,Mujer,Blanco,Religioso,0tro,Otro
1144,4,3,33,Mujer,Otro,No Religioso,Mantenimiento,Otro
1566,6,23,51,Hombre,Otro,No Religioso,Mantenimiento,Otro
1496,4,15,37,Hombre,Blanco,No Religioso,Mantenimiento,Otro
1234,4,9,45,Mujer,Otro,Religioso,0tro,Otro
1345,6,3,55,Mujer,Blanco,Religioso,0tro,Otro
1345,5,14,57,Mujer,Blanco,Religioso,0tro,Otro
3389,9,16,36,Hombre,Blanco,No Religioso,0tro,Otro
1839,4,20,60,Hombre,Blanco,No Religioso,Mantenimiento,Otro
981,4,5,35,Hombre,Otro,No Religioso,Mantenimiento,Otro
1345,9,10,34,Mujer,Blanco,Religioso,0tro,Otro
1566,5,4,28,Mujer,Otro,Religioso,0tro,Otro
1187,6,1,25,Mujer,Blanco,Religioso,0tro,Otro
1345,7,10,43,Mujer,Blanco,Religioso,0tro,Otro
1345,9,2,42,Mujer,Blanco,Religioso,0tro,Otro
2167,4,17,47,Hombre,Otro,No Religioso,Mantenimiento,Otro
1402,11,2,46,Hombre,Blanco,Religioso,0tro,Otro
2115,4,15,52,Hombre,Otro,No Religioso,0tro,Artesano
2218,8,11,64,Hombre,Blanco,No Religioso,0tro,Artesano
3575,11,1,39,Hombre,Blanco,No Religioso,0tro,Otro
1972,4,1,39,Hombre,Blanco,No Religioso,0tro,Artesano
1234,4,2,40,Mujer,Blanco,Religioso,0tro,Otro
1926,5,9,53,Hombre,Otro,No Religioso,Mantenimiento,Otro
2165,6,15,59,Mujer,Blanco,No Religioso,0tro,Otro
2365,6,12,35,Mujer,Otro,No Religioso,0tro,Otro
1345,9,5,45,Mujer,Blanco,Religioso,0tro,Otro
1839,4,14,37,Mujer,Otro,No Religioso,0tro,Otro
2613,5,14,37,Hombre,Blanco,No Religioso,0tro,Artesano
2533,11,3,43,Hombre,Blanco,No Religioso,0tro,Otro
1602,8,5,32,Mujer,Blanco,Religioso,0tro,Otro
1839,9,18,40,Mujer,Blanco,No Religioso,0tro,Artesano
2218,7,1,49,Hombre,Blanco,No Religioso,0tro,Otro
1529,4,10,43,Mujer,Otro,Religioso,0tro,Otro
1461,1,10,31,Hombre,Otro,No Religioso,0tro,Artesano
3307,9,22,45,Hombre,Blanco,No Religioso,0tro,Artesano
3833,11,3,31,Hombre,Blanco,No Religioso,0tro,Otro
1839,4,14,55,Hombre,Otro,No Religioso,Mantenimiento,Otro
1461,6,5,30,Mujer,Blanco,Religioso,0tro,Otro
1433,9,3,28,Hombre,Otro,No Religioso,0tro,Artesano
2115,6,15,60,Mujer,Otro,No Religioso,0tro,Otro
1839,4,13,32,Hombre,Otro,No Religioso,Mantenimiento,Otro
1288,4,9,58,Hombre,Otro,No Religioso,Mantenimiento,Otro
1288,6,4,29,Mujer,Otro,No Religioso,0tro,Artesano
