descripcion,sku
luminario para alberca LED PAR-56 RGB,ALED-S56/RGB
"""REFLECTOR SUMERGIBLE RGB DE SOBREPONER A BASE DE ADHESIVO PARA ALBERCA, BOTE, MUELLE etc.""",AQUA-12W-REFLEC
"""REFLECTOR SUMERGIBLE RGB DE SOBREPONER A BASE DE TORNILLO PARA ALBERCA, BOTE, MUELLE etc.""",AQUA-20W-REFLEC
LUMINARIO RGB SUMERGIBLE PARA FUENTES Y ESTANQUES,AQUA-9W-FS
LUZ LED PARA CHORRO DE ALBERCA,AQUA-AF90-AZ
LUZ LED PARA CHORRO DE ALBERCA,AQUA-AF90-BC
LUZ LED PARA CHORRO DE ALBERCA,AQUA-AF90-LD
LUMINARIO PAR 56 COB PARA ALBERCA,AQUA-COB-PAR56-LD
LUMINARIO PAR 56 COB PARA ALBERCA,AQUA-COB-PAR56-WW
Housing metalico para luminarios de Alberca,AQUA-HM
NICHO PARA LUMINARIO PAR 56,AQUA-N-PAR56
"""LUMINARIO PAR56  DE REMPLAZO , RGB CONTROLABLE.""",AQUA-T90-P56
"""LUMINARIO PAR56  DE REMPLAZO , BLANCO CALIDO""",AQUA-T90-P56-BC
"""LUMINARIO PAR56  DE REMPLAZO , LUZ DE DIA""",AQUA-T90-P56-LD
TERMOCONTRACTIL PARA CABLE,AQUA-TC
Controlador,ARTNET-DMX-8S
Base Portalámpara Para Tubo T8 120 cm,BP-T8-120
Base Portalámpara Para Tubo T8 60 cm,BP-T8-60
CAJA DE CONEXION IP68,CC-MF-IP68
Cable alimentador con clavija para Manguera de LED 3528SMD 127V,CL-1-3528
Conector medio para Manguera de LED 5050SMD 127V,CL-3-5050
Tira flexible de LED 3528SMD 60/m 12V 5metros 3000°K,CL-LED3528-12V-5M/30
Tira flexible de LED 3528SMD 60/m 12V 5metros 6500°K,CL-LED3528-12V-5M/65
Tira flexible de LED 3528SMD 60/m 12V 5metros IP65 3000°K,CL-LED3528-12V-5M-IP65/30
Tira flexible de LED 5050SMD 60/m 12V 5metros 3000°K,CL-LED5050-12V-5M/30
Cable conector para tira IP68 con led 2835,CMLED-IP-CP
Cable conector para tira IP68 con led 5050,CMLED-IP-CP-5050
Cable conector para tira IP68 RGB,CMLED-IP-CP-RGB
Cable conector tira a tira grado IP68 con led 2835,CMLED-IP-TCT
Cable conector tira a tira grado IP68 con led 5050,CMLED-IP-TCT-5050
Cable conector tira a tira grado IP68 RGB,CMLED-IP-TCT-RGB
Conector tira a tira grado IP68 con led 2835,CMLED-IP-TT
Conector tira a tira grado IP68 con led 5050,CMLED-IP-TT-5050
Conector tira a tira grado IP68 RGB,CMLED-IP-TT-RGB
Conector en X para unir tiras flexibles de interior de LED 3528 SMD 12V,CON-X-3528
Conector en X para unir tiras flexibles de interior de LED 5050 SMD y 2835 SMD 12V,CON-X-5050
Conector en X para unir tiras flexibles de interior de LED RGB SMD 12V,CON-X-RGB
Control TUYA RGBW,C-RGBW-TUYA
CONECTOR RECTO IP68,CR-MF-IP68
CONECTOR EN T IP68,CT-MF-IP68
Detector de humo fotoeléctrico Version Star,DH-98A-S
Dimmer de 0 a 10 Volts,DIMLED-0-10V
Interruptor Dimmer regulador de intensidad para casa,DIMLED-127V-200W
"""Driver 12 V DC, 100 Watts, IP67 uso exterior, proyectos""",DRIVERLED-12V-100W-IP67-O
"""Driver 12 V DC, 200 Watts, IP67 uso exterior, proyectos""",DRIVERLED-12V-200W-IP67-O
"""Driver 12 V DC, 36 Watts, IP67 uso exterior, proyectos""",DRIVERLED-12V-36W-IP67-O
Driver Plug-In de 6W,DriverLED-12V-6W-PI
"""Driver 24 V DC, 100 Watts, IP67 uso exterior, proyectos""",DRIVERLED-24V-100W-IP67-O
"""Driver 24 V DC, 200 Watts, IP67 uso exterior, proyectos""",DRIVERLED-24V-200W-IP67-O
"""Driver 24 V DC, 36 Watts, IP67 uso exterior, proyectos""",DRIVERLED-24V-36W-IP67-O
Fotocelda Externa,FE-720-S
"""Fotocelda interna para cargas incandescentes,halógenas y LED""",FI-770/LED
SERIE CON GUIRNALDA LED COLOR AZUL,GDL-SER-127V/AZ
SERIE CON GUIRNALDA LED COLOR BLANCO CALIDO,GDL-SER-127V/BC
SERIE CON GUIRNALDA LED COLOR LUZ DE DIA,GDL-SER-127V/LD
SERIE CON GUIRNALDA LED COLOR ROJO,GDL-SER-127V/RO
SERIE CON GUIRNALDA LED COLOR VERDE,GDL-SER-127V/VE
"""Manguera flexible 60 LEDs x metro, 2835 SMD, exterior 25 m""",H-MLED-2835SMD-127V/BC
"""Manguera flexible 60 LEDs x metro, 2835 SMD, exterior 25 m""",H-MLED-2835SMD-127V/LD
"""Manguera flexible 60 LEDs x metro, 5050 SMD, exterior 25 m""",H-MLED-5050SMD-127V/BC
"""Manguera flexible 60 LEDs x metro, 5050 SMD, exterior 25 m""",H-MLED-5050SMD-127V/LD
